"order_id","order_date","customer_id","customer_name","product_id","product_name","category","region","segment","channel","campaign_id","campaign_name","amount_spend","clicks","total_users","new_users","revenue","orders","new_orders","cost","gross_margin","net_profit","refund_rate","cart_abandonment_rate","promotion_roi","discount_amount","tax_amount","shipping_cost","payment_method","device_type","country","city"
"ORD00001","2024-01-01","CUST5158","Customer_231","P185","Product_81","Books","East","SMB","Paid Search","CMP769","Campaign_26","3616","5747","654","479","32799","164","127","9520","23279","22039","4.48","97.15","807.05","693.56","3935.88","634.36","Wallet","Mobile","Germany","Chennai"
"ORD00002","2024-01-02","CUST6532","Customer_920","P136","Product_97","Beauty","West","Consumer","Social","CMP826","Campaign_11","2220","5501","2031","335","89103","457","119","21871","67232","65869","7.81","91.69","3913.65","8562.70","10692.36","1886.29","Card","Desktop","India","Ahmedabad"
"ORD00003","2024-01-03","CUST8718","Customer_842","P268","Product_14","Fashion","West","Corporate","Paid Search","CMP511","Campaign_14","2863","4040","1881","1224","48481","609","381","16870","31611","30586","7.07","84.93","1593.36","2597.88","5817.72","3087.89","Card","Tablet","India","Delhi"
"ORD00004","2024-01-04","CUST1810","Customer_365","P792","Product_26","Sports","North","Consumer","Organic","CMP628","Campaign_12","1227","5433","1405","280","145326","1297","583","53107","92219","91305","4.67","76.13","11744.01","9972.06","17439.12","3380.85","NetBanking","Tablet","India","Hyderabad"
"ORD00005","2024-01-05","CUST5594","Customer_676","P440","Product_28","Home","East","SMB","Social","CMP933","Campaign_5","2560","8931","2928","305","74712","394","208","15956","58756","57489","1.79","95.59","2818.44","7567.83","8965.44","2256.44","NetBanking","Mobile","Germany","Bengaluru"
"ORD00006","2024-01-06","CUST4883","Customer_627","P565","Product_17","Home","South","Corporate","Affiliate","CMP424","Campaign_35","4111","4534","2514","2352","213860","1106","777","63835","150025","149626","5.98","75.61","5102.14","15204.76","25663.20","7383.18","Card","Tablet","India","Ahmedabad"
"ORD00007","2024-01-07","CUST4890","Customer_923","P585","Product_79","Sports","East","Corporate","Social","CMP685","Campaign_31","1037","7638","2978","2589","117862","1473","683","52592","65270","65095","5.84","80.71","11265.67","4642.14","14143.44","10409.62","Wallet","Tablet","USA","Bengaluru"
"ORD00008","2024-01-08","CUST6702","Customer_481","P586","Product_46","Sports","West","SMB","Paid Search","CMP422","Campaign_19","3340","8685","3657","276","138061","1067","1027","68427","69634","68283","4.06","87.71","4033.56","14984.92","16567.32","5239.12","UPI","Tablet","India","Bengaluru"
"ORD00009","2024-01-09","CUST3032","Customer_845","P437","Product_66","Electronics","North","Consumer","Affiliate","CMP387","Campaign_34","3212","3889","2337","234","333694","1916","1091","114340","219354","219182","2.86","50.73","10288.98","8673.57","40043.28","10457.73","Card","Tablet","India","Ahmedabad"
"ORD00010","2024-01-10","CUST8254","Customer_918","P832","Product_46","Fashion","West","Consumer","Social","CMP974","Campaign_25","2043","8480","2945","1627","44914","252","123","12879","32035","31770","4.28","97.03","2098.43","1424.39","5389.68","1377.74","Wallet","Desktop","USA","Ahmedabad"
"ORD00011","2024-01-11","CUST9483","Customer_731","P180","Product_47","Fashion","West","Corporate","Organic","CMP232","Campaign_36","2281","7237","1174","645","203561","1286","321","48577","154984","153702","6.43","82.23","8824.20","15502.60","24427.32","8054.39","Card","Desktop","USA","Ahmedabad"
"ORD00012","2024-01-12","CUST2489","Customer_708","P570","Product_15","Home","South","Consumer","Affiliate","CMP324","Campaign_20","3386","3571","2728","94","153638","1409","1027","41429","112209","111921","7","60.54","4437.45","5801.93","18436.56","5948.29","Wallet","Tablet","India","Hyderabad"
"ORD00013","2024-01-13","CUST5627","Customer_517","P511","Product_32","Electronics","North","Consumer","Affiliate","CMP607","Campaign_13","3586","3009","3023","1811","210374","1444","361","91670","118704","118239","4.22","52.01","5766.54","10820.28","25244.88","6722.98","UPI","Tablet","USA","Ahmedabad"
"ORD00014","2024-01-14","CUST4045","Customer_836","P319","Product_48","Books","East","Consumer","Affiliate","CMP481","Campaign_32","2772","5997","2935","588","123771","1011","791","64443","59328","59119","2.03","83.14","4365.04","5296.22","14852.52","5316.89","Card","Desktop","UK","Chennai"
"ORD00015","2024-01-15","CUST3275","Customer_300","P140","Product_37","Home","East","SMB","Email","CMP418","Campaign_21","1893","6227","2035","1978","231124","2155","432","116108","115016","113680","6.52","65.39","12109.40","18841.95","27734.88","12870.14","Card","Mobile","India","Hyderabad"
"ORD00016","2024-01-16","CUST9086","Customer_197","P315","Product_53","Home","South","Corporate","Social","CMP309","Campaign_18","2875","4918","1992","916","45913","284","170","17927","27986","26632","6.35","94.23","1496.97","3318.98","5509.56","778.89","Wallet","Desktop","Germany","Bengaluru"
"ORD00017","2024-01-17","CUST5577","Customer_136","P720","Product_85","Fashion","West","Consumer","Social","CMP797","Campaign_28","3134","8961","1893","1648","173927","1178","747","47898","126029","125388","7.61","86.85","5449.68","14255.70","20871.24","6834.13","NetBanking","Desktop","USA","Bengaluru"
"ORD00018","2024-01-18","CUST4658","Customer_365","P905","Product_26","Sports","East","SMB","Paid Search","CMP320","Campaign_17","2782","1682","2991","1463","30068","215","65","10952","19116","18716","6.77","87.22","980.81","864.79","3608.16","875.55","UPI","Tablet","Germany","Mumbai"
"ORD00019","2024-01-19","CUST1786","Customer_791","P556","Product_90","Sports","West","Corporate","Paid Search","CMP923","Campaign_34","2184","7582","3394","439","25876","168","146","9912","15964","15550","7.72","97.78","1084.80","869.20","3105.12","1099.61","NetBanking","Mobile","USA","Kolkata"
"ORD00020","2024-01-20","CUST9795","Customer_122","P957","Product_20","Beauty","South","Consumer","Social","CMP396","Campaign_16","1302","4853","1387","829","203925","1646","1547","75372","128553","127461","3.85","66.08","15562.44","8837.07","24471.00","7092.57","Card","Tablet","UK","Ahmedabad"
"ORD00021","2024-01-21","CUST1800","Customer_187","P703","Product_80","Beauty","East","Consumer","Paid Search","CMP444","Campaign_38","2382","7521","804","240","350040","2113","460","118597","231443","230954","3.15","71.91","14595.21","12069.61","42004.80","15455.27","Wallet","Tablet","UK","Kolkata"
"ORD00022","2024-01-22","CUST8548","Customer_894","P439","Product_12","Home","North","SMB","Social","CMP443","Campaign_33","3592","1242","1809","1578","133455","718","291","20824","112631","111489","6.48","42.19","3615.34","13463.51","16014.60","4880.72","Wallet","Desktop","UK","Chennai"
"ORD00023","2024-01-23","CUST3231","Customer_671","P605","Product_24","Sports","East","Corporate","Paid Search","CMP323","Campaign_25","2712","6268","467","89","224693","1542","248","45888","178805","178234","7.41","75.4","8185.14","24602.78","26963.16","10215.22","UPI","Desktop","India","Ahmedabad"
"ORD00024","2024-01-24","CUST6813","Customer_697","P790","Product_50","Home","East","Corporate","Organic","CMP968","Campaign_14","3689","2336","3359","1929","166800","836","231","19573","147227","146120","4.69","64.21","4421.55","16483.71","20016.00","5822.77","Wallet","Mobile","India","Pune"
"ORD00025","2024-01-25","CUST8318","Customer_472","P334","Product_33","Electronics","South","SMB","Affiliate","CMP595","Campaign_13","3589","3375","2941","784","89184","641","190","30511","58673","58115","6.71","81.01","2384.93","4373.33","10702.08","3219.92","UPI","Desktop","Germany","Hyderabad"
